date,original,trend,seasonal,residual
2025-03-25,45.0886,,,
2025-03-26,45.1389,,,
2025-03-27,44.823,,,
2025-03-28,44.7471,,,
2025-03-29,44.7471,,,
2025-03-30,44.7471,,,
2025-03-31,44.7472,,,
2025-04-01,44.8278,,,
2025-04-02,44.6084,,,
2025-04-03,44.6339,,,
2025-04-04,45.8531,,,
2025-04-05,45.8531,,,
2025-04-06,45.8531,,,
2025-04-07,45.5524,,,
2025-04-08,45.0532,,,
2025-04-09,45.0258,,,
2025-04-10,45.5471,,,
2025-04-11,45.8415,,,
2025-04-12,45.8415,,,
2025-04-13,45.8415,,,
2025-04-14,46.9153,,,
2025-04-15,47.0271,,,
2025-04-16,46.6104,,,
2025-04-17,46.8205,,,
2025-04-18,47.0043,,,
2025-04-19,47.0043,,,
2025-04-20,47.0043,,,
2025-04-21,47.0253,,,
2025-04-22,47.7653,,,
2025-04-23,47.7131,,,
2025-04-24,47.5421,,,
2025-04-25,47.4171,,,
2025-04-26,47.4171,,,
2025-04-27,47.4171,,,
2025-04-28,47.3856,,,
2025-04-29,47.3921,,,
2025-04-30,47.284,,,
2025-05-01,47.1687,,,
2025-05-02,47.0808,,,
2025-05-03,47.0808,,,
2025-05-04,47.0808,,,
2025-05-05,47.3127,,,
2025-05-06,47.1868,,,
2025-05-07,46.9637,,,
2025-05-08,47.0745,,,
2025-05-09,46.887,,,
2025-05-10,46.887,,,
2025-05-11,46.887,,,
2025-05-12,46.7528,,,
2025-05-13,46.1578,,,
2025-05-14,46.0924,,,
2025-05-15,46.5886,,,
2025-05-16,46.3831,,,
2025-05-17,46.3831,,,
2025-05-18,46.3831,,,
2025-05-19,46.449,,,
2025-05-20,46.8562,,,
2025-05-21,46.6521,,,
2025-05-22,46.9138,,,
2025-05-23,46.9281,,,
2025-05-24,46.9281,,,
2025-05-25,46.9281,,,
2025-05-26,46.9949,,,
2025-05-27,47.295,,,
2025-05-28,47.3104,,,
2025-05-29,47.0761,,,
2025-05-30,46.8026,,,
2025-05-31,46.8026,,,
2025-06-01,46.8026,,,
2025-06-02,47.074,,,
2025-06-03,47.5032,,,
2025-06-04,47.4263,,,
2025-06-05,47.2013,,,
2025-06-06,47.3773,,,
2025-06-07,47.3773,,,
2025-06-08,47.3773,,,
2025-06-09,47.2726,,,
2025-06-10,47.3713,,,
2025-06-11,47.5033,,,
